"symbol","date","open","high","low","close","volume","adjusted"
"BBAS3",2010-01-04,29.799999,30,29.700001,29.9,3624700,13.52172
"BBAS3",2010-01-05,30.1,30.1,29.190001,29.6,3064900,13.386058
"BBAS3",2010-01-06,29.49,30,29.42,29.639999,2733100,13.404149
"BBAS3",2010-01-07,29.440001,29.709999,29.41,29.65,1542200,13.408671
"BBAS3",2010-01-08,29.700001,29.82,29.469999,29.82,2038900,13.485554
"BBAS3",2010-01-11,29.98,30.07,29.620001,30.049999,2412800,13.589558
"BBAS3",2010-01-12,29.85,30.450001,29.719999,29.799999,2676000,13.476498
"BBAS3",2010-01-13,30,30.280001,29.5,30.18,2474100,13.648353
"BBAS3",2010-01-14,29.940001,30.09,29.549999,29.75,1693300,13.453893
"BBAS3",2010-01-15,29.65,29.950001,29.09,29.25,2202900,13.227774
"BBAS3",2010-01-18,29.5,29.540001,29.26,29.26,884000,13.232301
"BBAS3",2010-01-19,29.129999,29.860001,29.030001,29.75,1638100,13.453893
"BBAS3",2010-01-20,29.51,29.620001,27.84,28.860001,3567300,13.051406
"BBAS3",2010-01-21,29,29.030001,27.860001,28.389999,3247100,12.838857
"BBAS3",2010-01-22,27.940001,28.700001,27.940001,28.540001,2505200,12.906695
"BBAS3",2010-01-26,28,28.200001,27.51,27.77,3783000,12.558472
"BBAS3",2010-01-27,27.709999,28,27.200001,27.549999,3028500,12.458982
"BBAS3",2010-01-28,27.9,27.99,27.129999,27.6,4886100,12.481599
"BBAS3",2010-01-29,27.709999,28.459999,27.67,28.1,3517700,12.707719
"BBAS3",2010-02-01,28.360001,30.02,28.35,30,7874800,13.566953
"BBAS3",2010-02-02,30.17,30.75,29.83,30.6,5282700,13.838292
"BBAS3",2010-02-03,30.219999,30.5,29.66,29.85,2640600,13.499115
"BBAS3",2010-02-04,29.6,29.639999,28.6,29.299999,2913800,13.250386
"BBAS3",2010-02-05,28.860001,29.200001,27.299999,27.9,6348400,12.617264
"BBAS3",2010-02-08,27.709999,28.42,27.709999,28.25,3448300,12.775544
"BBAS3",2010-02-09,28.6,30.6,28.559999,29.66,5154300,13.413194
"BBAS3",2010-02-10,30.049999,30.41,29.5,30.4,3323200,13.747842
"BBAS3",2010-02-11,30.16,31.16,30,31.02,3819600,14.028226
"BBAS3",2010-02-12,30.690001,30.77,29.950001,30.5,2931500,13.793063
"BBAS3",2010-02-17,30.9,31.129999,30.379999,30.379999,2430000,13.7388
"BBAS3",2010-02-18,30.43,30.719999,30.27,30.65,2889900,13.860899
"BBAS3",2010-02-19,30.389999,30.98,30.15,30.709999,5044100,13.888032
"BBAS3",2010-02-22,30.85,30.940001,30.5,30.6,3426400,13.838292
"BBAS3",2010-02-23,30.309999,30.549999,30.02,30.18,4046200,13.648353
"BBAS3",2010-02-24,30.110001,30.450001,29.950001,30.450001,4043100,13.770455
"BBAS3",2010-02-25,29.85,30.16,29.620001,30,5055100,13.566953
"BBAS3",2010-02-26,29.790001,29.99,29.26,29.77,3023600,13.676379
"BBAS3",2010-03-01,29.889999,30.07,29.6,30,3062300,13.782044
"BBAS3",2010-03-02,30.040001,30.190001,29.629999,29.629999,3848400,13.612065
"BBAS3",2010-03-03,29.709999,29.950001,29.25,29.42,3624200,13.515586
"BBAS3",2010-03-04,29.57,29.6,29.1,29.4,2129800,13.506401
"BBAS3",2010-03-05,29.700001,29.9,29.530001,29.799999,1856600,13.690159
"BBAS3",2010-03-08,29.940001,29.969999,29.379999,29.379999,3143400,13.497209
"BBAS3",2010-03-09,29.290001,30.07,29.27,29.9,3508100,13.736103
"BBAS3",2010-03-10,30,30.27,29.950001,30.200001,3603900,13.87392
"BBAS3",2010-03-11,30,30.35,29.860001,30.16,1834600,13.855549
"BBAS3",2010-03-12,30.43,30.48,29.9,29.9,2016800,13.736103
"BBAS3",2010-03-15,29.85,30.16,29.76,30.01,1381100,13.786627
"BBAS3",2010-03-16,30.01,30.370001,29.99,30.25,1547100,13.896892
